                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2803,                 5.0637,                 1.5898,                0.48887,                 0.4113,                0.41751,                0.27113,                 1.2074,                 2.3375,                 1.5098,             0.00011062,             0.00011062,             0.00011062
                      2,                 1.1426,                 3.9581,                 1.4329,                 0.5659,                0.61695,                0.64107,                0.42783,                 1.1887,                 1.9974,                 1.4646,             0.00021942,             0.00021942,             0.00021942
                      3,                 1.1224,                 3.3391,                 1.3853,                0.58714,                0.74494,                0.79463,                 0.5665,                 1.0912,                 1.5857,                 1.3675,             0.00032603,             0.00032603,             0.00032603
                      4,                 1.1235,                 2.9236,                 1.3762,                 0.6771,                0.77816,                0.86495,                0.61487,                 1.0527,                 1.4219,                 1.3384,             0.00032311,             0.00032311,             0.00032311
                      5,                 1.0839,                 2.5611,                 1.3407,                0.69943,                0.85189,                0.89029,                0.66338,                0.98745,                 1.2696,                 1.3108,             0.00032311,             0.00032311,             0.00032311
                      6,                 1.0522,                 2.3331,                 1.3203,                0.72277,                 0.8257,                0.89835,                0.66754,                 1.0024,                 1.0658,                 1.2866,             0.00031981,             0.00031981,             0.00031981
                      7,                 1.0414,                 2.1761,                 1.2947,                0.78985,                0.86879,                 0.9042,                0.65438,                 1.0697,                 1.0958,                 1.3154,             0.00031652,             0.00031652,             0.00031652
                      8,                 1.0164,                 2.0059,                 1.2801,                0.85344,                0.89898,                0.94169,                0.68002,                 1.0551,                0.96842,                  1.304,             0.00031322,             0.00031322,             0.00031322
                      9,                 1.0004,                 1.9502,                 1.2596,                0.84017,                0.91254,                0.93682,                0.66089,                 1.0891,                0.92499,                 1.3163,             0.00030992,             0.00030992,             0.00030992
                     10,                 1.0009,                 1.8282,                 1.2671,                0.86725,                 0.9201,                0.95684,                0.70145,                 1.0572,                0.89258,                 1.2954,             0.00030663,             0.00030663,             0.00030663
                     11,                0.97633,                 1.7599,                 1.2405,                0.81643,                0.90972,                0.94704,                0.72971,                0.94438,                0.99539,                 1.2319,             0.00030333,             0.00030333,             0.00030333
                     12,                0.95792,                 1.7161,                 1.2297,                0.84524,                0.92386,                0.96043,                0.70762,                 1.0041,                0.90634,                 1.2684,             0.00030003,             0.00030003,             0.00030003
                     13,                0.95246,                 1.6805,                 1.2315,                0.86101,                 0.9345,                0.96042,                0.74328,                0.90529,                0.81204,                 1.1981,             0.00029674,             0.00029674,             0.00029674
                     14,                0.93928,                 1.6432,                 1.2189,                0.85914,                0.92804,                0.95468,                0.72977,                 0.9625,                0.82038,                 1.2259,             0.00029344,             0.00029344,             0.00029344
                     15,                0.93763,                 1.6121,                 1.2188,                 0.9021,                0.93315,                 0.9774,                0.69805,                 1.0753,                0.73698,                 1.2963,             0.00029014,             0.00029014,             0.00029014
                     16,                0.91793,                 1.5525,                 1.2038,                0.88009,                0.93664,                0.97134,                0.71536,                 1.0339,                0.75807,                 1.2825,             0.00028685,             0.00028685,             0.00028685
                     17,                0.91949,                 1.5256,                 1.1966,                0.91287,                0.93673,                0.97772,                0.75904,                   0.89,                0.76529,                 1.1776,             0.00028355,             0.00028355,             0.00028355
                     18,                0.90054,                 1.5444,                  1.189,                0.87294,                 0.9294,                0.97661,                 0.7663,                0.88348,                0.75902,                 1.1853,             0.00028025,             0.00028025,             0.00028025
                     19,                0.88499,                 1.4666,                 1.1783,                0.90322,                0.93855,                0.97849,                0.76806,                0.87148,                0.73977,                 1.1728,             0.00027696,             0.00027696,             0.00027696
                     20,                 0.9027,                 1.4813,                 1.1948,                 0.9039,                0.93693,                0.97538,                0.75615,                0.90656,                0.78769,                 1.2052,             0.00027366,             0.00027366,             0.00027366
                     21,                0.86331,                 1.4147,                 1.1687,                0.88064,                0.93552,                0.97583,                0.73943,                0.98881,                0.70885,                 1.2737,             0.00027036,             0.00027036,             0.00027036
                     22,                0.87048,                  1.422,                 1.1703,                0.92473,                0.95146,                0.98839,                0.77005,                 0.8849,                0.63918,                 1.1931,             0.00026707,             0.00026707,             0.00026707
                     23,                0.85538,                 1.3913,                 1.1586,                0.91816,                0.94551,                0.98526,                0.74705,                0.94924,                0.75984,                  1.218,             0.00026377,             0.00026377,             0.00026377
                     24,                0.86102,                 1.3742,                 1.1669,                0.85701,                0.92546,                 0.9702,                0.73233,                0.95755,                 0.8279,                 1.2414,             0.00026047,             0.00026047,             0.00026047
                     25,                0.84438,                 1.3583,                 1.1543,                 0.9434,                0.96555,                0.98473,                0.75397,                0.93333,                0.68821,                 1.2319,             0.00025718,             0.00025718,             0.00025718
                     26,                0.84758,                 1.3182,                 1.1582,                0.92735,                0.95598,                0.98768,                0.70067,                 1.1026,                0.67916,                 1.3635,             0.00025388,             0.00025388,             0.00025388
