                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2594,                 6.1731,                 1.5713,                 0.7446,                0.18206,                0.23092,                0.14936,                 1.0119,                 3.0366,                 1.3239,              0.0033256,              0.0033256,              0.0033256
                      2,                 1.2631,                 5.4373,                 1.5021,                0.67342,                0.29729,                0.31953,                0.20705,                 1.2653,                 3.1433,                 1.5849,               0.006615,               0.006615,               0.006615
                      3,                  1.428,                  4.803,                 1.6048,                0.50593,                0.29739,                0.26217,                0.16159,                  1.548,                 2.8528,                 1.7843,              0.0098604,              0.0098604,              0.0098604
                      4,                 1.5926,                 4.1056,                 1.7137,                0.46102,                 0.2566,                0.29682,                0.17625,                 1.5254,                 2.8314,                 1.7364,               0.009802,               0.009802,               0.009802
                      5,                 1.5549,                 3.5339,                 1.6681,                0.54996,                0.29989,                0.37619,                0.23525,                 1.4752,                 2.4982,                  1.782,               0.009802,               0.009802,               0.009802
                      6,                 1.4902,                 3.2077,                 1.6217,                 0.6104,                0.44813,                0.55789,                0.36283,                 1.3698,                 2.0571,                 1.6002,               0.009736,               0.009736,               0.009736
                      7,                 1.4332,                 2.9467,                  1.589,                0.71547,                0.53224,                0.70593,                0.46457,                 1.3298,                 1.8695,                 1.5409,                0.00967,                0.00967,                0.00967
                      8,                 1.3708,                 2.7867,                 1.5193,                0.62606,                0.70327,                0.76384,                0.51456,                 1.2031,                 1.4366,                 1.4433,               0.009604,               0.009604,               0.009604
                      9,                 1.3605,                 2.6502,                  1.497,                0.68633,                0.70943,                0.78967,                0.51627,                 1.2465,                 1.6101,                 1.4691,               0.009538,               0.009538,               0.009538
                     10,                 1.3186,                 2.5783,                 1.4733,                 0.7349,                0.69733,                0.81199,                0.54631,                 1.2495,                 1.5433,                 1.4517,               0.009472,               0.009472,               0.009472
                     11,                 1.2962,                  2.528,                 1.4531,                0.70536,                0.70287,                0.80672,                0.56035,                 1.1282,                 1.3993,                 1.3818,               0.009406,               0.009406,               0.009406
                     12,                 1.2754,                 2.4102,                 1.4395,                0.63249,                0.78926,                0.86065,                0.59092,                 1.1498,                 1.3682,                 1.3666,                0.00934,                0.00934,                0.00934
                     13,                 1.2692,                  2.411,                 1.4237,                0.68071,                0.77638,                0.86433,                 0.6156,                  1.104,                 1.2394,                 1.3466,               0.009274,               0.009274,               0.009274
                     14,                 1.2354,                  2.285,                 1.3899,                0.77026,                0.82558,                0.91068,                0.66126,                 1.0232,                 1.1408,                 1.2898,               0.009208,               0.009208,               0.009208
                     15,                 1.2078,                 2.2167,                 1.3761,                0.76086,                0.85397,                0.92036,                0.65841,                 1.0866,                 1.1687,                  1.308,               0.009142,               0.009142,               0.009142
                     16,                 1.1805,                 2.1949,                 1.3572,                0.81613,                0.86588,                0.93117,                0.67436,                 1.0618,                 1.1169,                 1.3033,               0.009076,               0.009076,               0.009076
                     17,                 1.1743,                 2.1652,                 1.3592,                0.79779,                0.82284,                0.89691,                 0.6617,                 0.9958,                 1.1255,                 1.2574,                0.00901,                0.00901,                0.00901
                     18,                  1.138,                 2.1287,                 1.3309,                0.85462,                0.84673,                 0.9399,                0.68152,                 1.0536,                 1.2104,                 1.2934,               0.008944,               0.008944,               0.008944
                     19,                 1.1405,                 2.0971,                 1.3242,                0.85905,                0.79943,                0.92033,                0.67695,                 1.0421,                  1.146,                 1.2703,               0.008878,               0.008878,               0.008878
                     20,                 1.1491,                 2.0753,                 1.3231,                0.85634,                 0.8928,                0.95759,                 0.7187,                0.97553,                0.87691,                 1.2183,               0.008812,               0.008812,               0.008812
                     21,                 1.1139,                 2.0085,                 1.3046,                 0.7849,                0.86342,                0.91468,                0.66792,                 1.0261,                 1.0768,                 1.2649,               0.008746,               0.008746,               0.008746
                     22,                 1.0953,                 1.9684,                 1.2955,                0.85237,                0.87499,                0.94923,                0.69695,                  1.006,                0.93042,                 1.2521,                0.00868,                0.00868,                0.00868
                     23,                 1.0919,                 2.0007,                 1.3008,                 0.8694,                0.90915,                0.96325,                0.68985,                  1.127,                0.90827,                 1.3355,               0.008614,               0.008614,               0.008614
                     24,                  1.087,                 1.9564,                 1.2875,                 0.8639,                0.90267,                0.95174,                0.69199,                 1.0654,                0.93913,                 1.2858,               0.008548,               0.008548,               0.008548
                     25,                 1.0756,                 1.9271,                 1.2769,                0.85891,                0.88874,                0.96898,                0.72398,                 1.0081,                 1.0032,                 1.2459,               0.008482,               0.008482,               0.008482
                     26,                 1.0688,                 1.8833,                 1.2844,                0.78573,                0.81119,                0.94526,                0.71583,                0.96805,                 1.0777,                 1.2314,               0.008416,               0.008416,               0.008416
                     27,                 1.0687,                 1.8855,                 1.2791,                0.86837,                0.93086,                0.97471,                0.70768,                 1.0191,                0.92563,                 1.2657,                0.00835,                0.00835,                0.00835
                     28,                 1.0497,                 1.8626,                 1.2532,                0.88673,                0.93598,                0.97764,                0.71853,                0.99643,                0.94811,                 1.2426,               0.008284,               0.008284,               0.008284
                     29,                 1.0462,                 1.8615,                 1.2652,                0.89811,                0.94325,                0.97863,                0.71011,                 1.0749,                0.85347,                 1.2748,               0.008218,               0.008218,               0.008218
                     30,                 1.0417,                 1.8737,                 1.2477,                 0.8736,                0.91923,                0.95638,                0.70715,                0.98461,                0.93673,                 1.2237,               0.008152,               0.008152,               0.008152
                     31,                 1.0303,                 1.8072,                 1.2397,                0.88221,                0.91441,                0.97094,                0.74822,                0.92517,                0.79934,                 1.1876,               0.008086,               0.008086,               0.008086
                     32,                 1.0304,                  1.795,                 1.2434,                0.90039,                0.93522,                0.98051,                0.72726,                0.99153,                 0.8617,                 1.2291,                0.00802,                0.00802,                0.00802
                     33,                 1.0303,                 1.8447,                 1.2424,                  0.861,                0.89734,                0.95836,                0.70573,                 1.0167,                0.90283,                  1.264,               0.007954,               0.007954,               0.007954
                     34,                 1.0268,                 1.8225,                 1.2454,                0.85984,                0.93892,                0.97576,                0.72702,                0.98297,                0.89701,                 1.2276,               0.007888,               0.007888,               0.007888
                     35,                0.98823,                 1.8054,                 1.2219,                0.87338,                0.94892,                0.97768,                0.72602,                      1,                0.87685,                 1.2424,               0.007822,               0.007822,               0.007822
                     36,                0.99554,                 1.7721,                 1.2299,                0.86369,                0.94293,                0.98287,                0.73821,                0.97393,                0.85486,                 1.2188,               0.007756,               0.007756,               0.007756
                     37,                  1.003,                 1.7583,                 1.2259,                0.88102,                0.93167,                0.97272,                0.71058,                 1.0636,                0.92678,                 1.2822,                0.00769,                0.00769,                0.00769
                     38,                 0.9951,                 1.7604,                 1.2246,                0.86338,                0.93685,                0.97161,                0.71201,                 1.0318,                0.88232,                 1.2374,               0.007624,               0.007624,               0.007624
                     39,                0.98136,                 1.7223,                 1.2191,                0.88436,                0.94725,                0.97245,                0.74671,                0.94084,                 0.8337,                 1.2065,               0.007558,               0.007558,               0.007558
                     40,                0.97953,                 1.7178,                 1.2161,                0.87713,                0.94703,                0.97465,                0.72698,                0.99774,                0.79959,                 1.2433,               0.007492,               0.007492,               0.007492
                     41,                0.98161,                 1.7234,                 1.2236,                0.85509,                0.94901,                0.98246,                0.73815,                0.96265,                0.79193,                 1.2112,               0.007426,               0.007426,               0.007426
                     42,                0.95289,                 1.6818,                 1.1963,                0.91471,                0.93526,                0.98244,                 0.7476,                0.95896,                0.80407,                  1.198,                0.00736,                0.00736,                0.00736
                     43,                0.97242,                 1.6555,                 1.2093,                0.92396,                0.93469,                0.97939,                0.74139,                0.94913,                0.77124,                 1.2059,               0.007294,               0.007294,               0.007294
                     44,                0.96032,                 1.6706,                 1.2025,                  0.936,                0.95388,                0.98066,                0.74072,                0.96339,                0.73212,                 1.2096,               0.007228,               0.007228,               0.007228
                     45,                0.95258,                 1.6683,                 1.1953,                0.92609,                0.94806,                0.98836,                0.75236,                0.93371,                0.78801,                 1.1956,               0.007162,               0.007162,               0.007162
                     46,                0.96029,                 1.6643,                 1.2063,                0.89203,                0.95322,                0.98839,                0.75262,                0.94629,                0.80324,                 1.2077,               0.007096,               0.007096,               0.007096
                     47,                0.93811,                 1.6181,                 1.1827,                 0.9405,                0.96218,                0.99089,                0.75212,                0.95768,                0.76983,                 1.2213,                0.00703,                0.00703,                0.00703
                     48,                0.93803,                 1.6406,                 1.1903,                0.93786,                0.95383,                0.98822,                0.75897,                0.91209,                 0.7262,                 1.1798,               0.006964,               0.006964,               0.006964
                     49,                0.93874,                 1.6354,                 1.1937,                0.91993,                 0.9433,                 0.9885,                0.76051,                0.92271,                0.73892,                 1.1758,               0.006898,               0.006898,               0.006898
                     50,                0.92015,                 1.6311,                 1.1799,                0.88216,                0.97885,                0.97985,                0.73378,                 0.9608,                 0.7291,                 1.2026,               0.006832,               0.006832,               0.006832
                     51,                0.92553,                 1.6284,                 1.1833,                0.94203,                0.94933,                0.98762,                0.75896,                0.92995,                0.71104,                 1.1797,               0.006766,               0.006766,               0.006766
                     52,                0.91584,                 1.5913,                 1.1736,                0.92123,                0.97101,                0.98771,                0.74921,                0.94447,                0.69073,                 1.1939,                 0.0067,                 0.0067,                 0.0067
                     53,                0.93115,                 1.6325,                 1.1871,                0.90067,                0.97688,                0.99132,                0.75081,                0.95363,                0.68614,                 1.1992,               0.006634,               0.006634,               0.006634
                     54,                0.91254,                 1.5659,                 1.1775,                0.95706,                0.96579,                0.98983,                0.74721,                0.94675,                0.72041,                  1.189,               0.006568,               0.006568,               0.006568
                     55,                0.90589,                 1.5864,                 1.1695,                0.95213,                0.98041,                0.99199,                0.75526,                0.93992,                0.68607,                 1.1983,               0.006502,               0.006502,               0.006502
                     56,                0.90265,                 1.5472,                 1.1689,                0.94586,                0.96074,                0.99276,                0.75732,                 0.9355,                0.70765,                 1.1943,               0.006436,               0.006436,               0.006436
                     57,                0.88651,                 1.5425,                 1.1604,                0.93966,                0.96406,                0.99159,                0.75052,                0.93705,                0.68182,                 1.1851,                0.00637,                0.00637,                0.00637
                     58,                0.89661,                 1.5383,                   1.17,                0.94661,                0.97766,                0.99294,                 0.7665,                0.89923,                0.65962,                 1.1663,               0.006304,               0.006304,               0.006304
                     59,                0.90924,                 1.5841,                 1.1682,                0.95166,                0.97104,                 0.9914,                0.76674,                0.89775,                0.69012,                  1.163,               0.006238,               0.006238,               0.006238
                     60,                0.87407,                 1.5291,                 1.1562,                0.94607,                0.96352,                0.98933,                 0.7551,                0.92997,                0.66291,                 1.2007,               0.006172,               0.006172,               0.006172
                     61,                0.88148,                 1.5164,                 1.1571,                0.94131,                0.95489,                0.99044,                0.75374,                0.92892,                0.66845,                  1.187,               0.006106,               0.006106,               0.006106
                     62,                0.88195,                 1.5301,                 1.1562,                0.95677,                0.94787,                0.98838,                0.76553,                0.91241,                0.66116,                 1.1677,                0.00604,                0.00604,                0.00604
                     63,                0.87011,                 1.5324,                 1.1576,                0.94422,                0.95367,                 0.9894,                0.75272,                0.95248,                0.64869,                 1.1918,               0.005974,               0.005974,               0.005974
                     64,                0.86187,                 1.5061,                 1.1452,                0.94624,                0.96102,                 0.9924,                0.76327,                0.92138,                0.65704,                 1.1714,               0.005908,               0.005908,               0.005908
                     65,                 0.8798,                 1.5309,                 1.1573,                0.95023,                0.96709,                0.99297,                0.76449,                0.91724,                0.65519,                 1.1718,               0.005842,               0.005842,               0.005842
                     66,                0.87549,                 1.5247,                 1.1514,                0.95868,                0.95503,                 0.9905,                0.76317,                0.92426,                 0.6526,                 1.1807,               0.005776,               0.005776,               0.005776
                     67,                0.86957,                 1.4897,                 1.1456,                0.96188,                0.95551,                0.99288,                0.75629,                 0.9295,                0.66332,                 1.1783,                0.00571,                0.00571,                0.00571
                     68,                0.86303,                 1.4825,                 1.1452,                  0.938,                0.97828,                0.99317,                 0.7674,                0.93749,                0.60865,                 1.1939,               0.005644,               0.005644,               0.005644
                     69,                 0.8506,                 1.4826,                 1.1428,                0.94754,                0.97293,                0.99234,                0.75857,                0.95765,                0.62584,                 1.2073,               0.005578,               0.005578,               0.005578
                     70,                0.85086,                 1.4709,                 1.1444,                0.96795,                0.96518,                0.99178,                0.76365,                0.92972,                0.61534,                 1.1919,               0.005512,               0.005512,               0.005512
                     71,                0.85234,                 1.4788,                  1.141,                0.96364,                 0.9654,                0.99224,                0.75631,                0.96043,                0.61618,                 1.2047,               0.005446,               0.005446,               0.005446
                     72,                0.84308,                 1.4578,                 1.1346,                 0.9603,                0.97005,                 0.9926,                0.76666,                 0.9261,                 0.6064,                  1.181,                0.00538,                0.00538,                0.00538
                     73,                 0.8241,                 1.4447,                 1.1236,                0.95688,                0.96693,                0.99149,                0.76064,                0.92608,                0.59559,                 1.1931,               0.005314,               0.005314,               0.005314
                     74,                 0.8254,                  1.412,                 1.1259,                0.95788,                0.96779,                0.99086,                0.75708,                0.93363,                0.59555,                 1.1841,               0.005248,               0.005248,               0.005248
                     75,                0.82613,                 1.4052,                 1.1214,                0.96414,                0.97963,                0.99338,                0.75516,                0.93298,                  0.573,                 1.1888,               0.005182,               0.005182,               0.005182
                     76,                0.82953,                 1.4669,                 1.1317,                0.94951,                0.96919,                0.99043,                0.75576,                 0.9313,                 0.5888,                 1.1912,               0.005116,               0.005116,               0.005116
                     77,                0.82385,                 1.4303,                 1.1221,                0.95574,                0.96872,                0.99458,                0.77047,                0.92009,                0.58371,                 1.1831,                0.00505,                0.00505,                0.00505
                     78,                0.83227,                 1.4535,                 1.1265,                0.96475,                0.96072,                0.99365,                0.76508,                0.92143,                0.60592,                 1.1799,               0.004984,               0.004984,               0.004984
                     79,                0.81966,                 1.4403,                 1.1274,                0.96035,                0.95268,                0.99109,                0.76528,                0.91059,                0.59261,                 1.1775,               0.004918,               0.004918,               0.004918
                     80,                0.80671,                 1.4376,                 1.1214,                0.95786,                0.97414,                0.99347,                0.76277,                0.90642,                0.58638,                 1.1721,               0.004852,               0.004852,               0.004852
                     81,                0.80741,                 1.4212,                 1.1127,                0.96452,                0.95994,                0.99334,                0.77251,                0.89885,                0.59162,                 1.1733,               0.004786,               0.004786,               0.004786
                     82,                0.81121,                 1.4006,                 1.1151,                0.95154,                0.98024,                0.99362,                0.76402,                0.90741,                0.58999,                 1.1844,                0.00472,                0.00472,                0.00472
                     83,                0.81061,                  1.401,                 1.1234,                0.96581,                0.96838,                 0.9937,                0.76692,                0.89899,                0.56459,                 1.1854,               0.004654,               0.004654,               0.004654
                     84,                0.80651,                  1.424,                 1.1129,                0.95461,                0.98178,                0.99328,                0.77143,                0.89177,                0.56748,                 1.1772,               0.004588,               0.004588,               0.004588
                     85,                0.80474,                 1.4148,                 1.1182,                0.95249,                 0.9847,                0.99338,                0.76145,                0.91025,                0.58148,                 1.1831,               0.004522,               0.004522,               0.004522
                     86,                0.79923,                  1.374,                 1.1128,                0.96639,                0.98462,                0.99458,                0.76411,                0.91963,                0.56273,                 1.1851,               0.004456,               0.004456,               0.004456
                     87,                0.79362,                 1.3823,                 1.1082,                0.96963,                0.97711,                0.99415,                0.76734,                0.90749,                0.55885,                 1.1744,                0.00439,                0.00439,                0.00439
                     88,                0.80064,                 1.4038,                 1.1179,                0.96183,                0.97705,                0.99458,                 0.7633,                0.90892,                 0.5654,                 1.1843,               0.004324,               0.004324,               0.004324
                     89,                0.78065,                 1.3615,                 1.1025,                0.95555,                0.98384,                0.99415,                0.76822,                 0.8921,                0.56459,                 1.1708,               0.004258,               0.004258,               0.004258
                     90,                0.78216,                 1.3451,                 1.0957,                0.95096,                0.98393,                0.99373,                 0.7703,                0.88849,                0.56577,                 1.1715,               0.004192,               0.004192,               0.004192
                     91,                0.79161,                 1.3775,                  1.106,                0.94486,                0.97754,                0.99302,                0.76929,                 0.8907,                0.56605,                 1.1706,               0.004126,               0.004126,               0.004126
                     92,                 0.7786,                 1.3503,                 1.0985,                0.95948,                0.97313,                0.99362,                0.76758,                0.90292,                0.55064,                  1.177,                0.00406,                0.00406,                0.00406
                     93,                0.77928,                 1.3439,                 1.0994,                0.95932,                0.96907,                0.99241,                0.77064,                0.90714,                0.55647,                 1.1811,               0.003994,               0.003994,               0.003994
                     94,                0.77153,                 1.3609,                  1.099,                0.96692,                0.96522,                0.99202,                0.77367,                 0.8933,                0.54531,                 1.1754,               0.003928,               0.003928,               0.003928
                     95,                0.76168,                 1.3226,                 1.0865,                0.96522,                0.97286,                0.99212,                0.77414,                  0.893,                0.55971,                 1.1724,               0.003862,               0.003862,               0.003862
                     96,                0.76843,                  1.313,                 1.0915,                0.96708,                0.96627,                0.99363,                0.77326,                0.89524,                0.55255,                 1.1751,               0.003796,               0.003796,               0.003796
                     97,                0.75636,                 1.3457,                 1.0921,                0.96499,                 0.9672,                0.99363,                0.76959,                0.90115,                0.55091,                 1.1843,                0.00373,                0.00373,                0.00373
                     98,                0.75655,                 1.3214,                 1.0867,                0.96514,                0.97009,                0.99392,                0.77371,                0.89672,                0.54888,                 1.1813,               0.003664,               0.003664,               0.003664
                     99,                0.75313,                   1.33,                 1.0894,                 0.9479,                0.97658,                0.99392,                0.77343,                0.89495,                0.55035,                 1.1835,               0.003598,               0.003598,               0.003598
                    100,                0.75823,                 1.3095,                 1.0958,                0.95208,                0.97678,                0.99392,                0.77448,                0.89704,                0.54604,                 1.1889,               0.003532,               0.003532,               0.003532
                    101,                0.75313,                 1.3093,                 1.0885,                0.94901,                0.97473,                0.99392,                0.76873,                0.90281,                0.54379,                 1.1955,               0.003466,               0.003466,               0.003466
                    102,                0.75406,                 1.3323,                 1.0856,                0.95613,                0.97307,                0.99415,                0.76813,                0.90914,                0.54309,                 1.1985,                 0.0034,                 0.0034,                 0.0034
